Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 01/03  13:00:00,48.8888888888889,59.35365267576455,59.35365267576455,59.35365267576455,0.0,0.0 
 01/03  14:00:00,48.8888888888889,59.17091110615326,59.17091110615326,59.17091110615326,0.0,0.0 
 01/03  15:00:00,48.8888888888889,58.98902569201829,58.98902569201829,58.98902569201829,0.0,0.0 
 01/03  16:00:00,48.8888888888889,58.80799242831263,58.80799242831263,58.80799242831263,0.0,0.0 
 01/03  17:00:00,48.8888888888889,58.62780719555918,58.62780719555918,58.62780719555918,0.0,0.0 
 01/03  18:00:00,48.8888888888889,58.448465895416554,58.448465895416554,58.448465895416554,0.0,0.0 
 01/03  19:00:00,48.8888888888889,58.26996445050215,58.26996445050215,58.26996445050215,0.0,0.0 
 01/03  20:00:00,48.8888888888889,58.09229880432802,58.09229880432802,58.09229880432802,0.0,0.0 
 01/03  21:00:00,48.8888888888889,59.66694973517749,62.155686101704966,59.66694973517749,0.0,0.0 
 01/03  22:00:00,48.8888888888889,59.814278837562796,59.814278837562796,59.814278837562796,0.0,0.0 
 01/03  23:00:00,48.8888888888889,59.62937815719543,59.62937815719543,59.62937815719543,0.0,0.0 
 01/03  24:00:00,48.8888888888889,59.445344213482144,59.445344213482144,59.445344213482144,0.0,0.0 
 01/04  01:00:00,48.8888888888889,59.26217281202176,59.26217281202176,59.26217281202176,0.0,0.0 
 01/04  02:00:00,48.8888888888889,59.07985977995275,59.07985977995275,59.07985977995275,0.0,0.0 
 01/04  03:00:00,48.8888888888889,58.89840096595385,58.89840096595385,58.89840096595385,0.0,0.0 
 01/04  04:00:00,48.8888888888889,58.71779223995581,58.71779223995581,58.71779223995581,0.0,0.0 
 01/04  05:00:00,48.8888888888889,58.538029493062055,58.538029493062055,58.538029493062055,0.0,0.0 
 01/04  06:00:00,48.8888888888889,58.359108637437146,58.359108637437146,58.359108637437146,0.0,0.0 
 01/04  07:00:00,48.8888888888889,58.18102560614619,58.18102560614619,58.18102560614619,0.0,0.0 
 01/04  08:00:00,48.8888888888889,58.714220794026346,61.20311399408259,58.714220794026346,0.0,0.0 
 01/04  09:00:00,48.8888888888889,59.907055689935255,59.907055689935255,59.907055689935255,0.0,0.0 
 01/04  10:00:00,48.8888888888889,59.72172006077287,59.72172006077287,59.72172006077287,0.0,0.0 
 01/04  11:00:00,48.8888888888889,59.53725327358644,59.53725327358644,59.53725327358644,0.0,0.0 
 01/04  12:00:00,48.8888888888889,59.35365112316583,59.35365112316583,59.35365112316583,0.0,0.0 
 01/04  13:00:00,48.8888888888889,59.17090942587335,59.17090942587335,59.17090942587335,0.0,0.0 
 01/04  14:00:00,48.8888888888889,58.98902401964124,58.98902401964124,58.98902401964124,0.0,0.0 
 01/04  15:00:00,48.8888888888889,58.807990763799864,58.807990763799864,58.807990763799864,0.0,0.0 
 01/04  16:00:00,48.8888888888889,58.627805538870454,58.627805538870454,58.627805538870454,0.0,0.0 
 01/04  17:00:00,48.8888888888889,58.44846424651462,58.44846424651462,58.44846424651462,0.0,0.0 
